"EAN";"Deeplink";"Dealer item number";"Price excl. VAT";"Price incl. VAT";"VAT Prices";"Delivery time";"Manufacturer";"SKU";"Shipping cost excl. VAT";"Shipping cost incl. VAT";"VAT Shipping cost";"Number in stock";
"5709193014225";"https://www.keengardener.co.uk/dancook-7000-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-422";"41.65833333333334";"49.99";"20";"1 Day";"Char-Broil";"CHAR-101-422";"3.49";"2.91";"20";"0.0000";
"5709193015017";"https://www.keengardener.co.uk/dancook-7100-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-501";"49.99166666666667";"59.99";"20";"1 Day";"Char-Broil";"CHAR-101-501";"3.49";"2.91";"20";"0.0000";
"5709193016212";"https://www.keengardener.co.uk/dancook-7400-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-101-621";"62.49166666666667";"74.99";"20";"1 Day";"Char-Broil";"CHAR-101-621";"3.49";"2.91";"20";"0.0000";
"5709193045113";"https://www.keengardener.co.uk/dancook-5200-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-511";"70.825";"84.99";"20";"1 Day";"Char-Broil";"CHAR-104-511";"0.00";"0.00";"20";"0.0000";
"5709193046110";"https://www.keengardener.co.uk/dancook-5300-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-611";"79.15833333333333";"94.99";"20";"1 Day";"Char-Broil";"CHAR-104-611";"0.00";"0.00";"20";"0.0000";
"5709193046127";"https://www.keengardener.co.uk/dancook-5600-charcoal-box-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-104-612";"95.825";"114.99";"20";"1 Day";"Char-Broil";"CHAR-104-612";"0.00";"0.00";"20";"0.0000";
"5709193090007";"https://www.keengardener.co.uk/dancook-1000-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-000";"141.65833333333336";"169.99";"20";"1 Day";"Char-Broil";"CHAR-109-000";"0.00";"0.00";"20";"0.0000";
"5709193090014";"https://www.keengardener.co.uk/dancook-1400-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-001";"166.65833333333336";"199.99";"20";"1 Day";"Char-Broil";"CHAR-109-001";"0.00";"0.00";"20";"0.0000";
"5709193090045";"https://www.keengardener.co.uk/dancook-1600-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-004";"124.99166666666667";"149.99";"20";"1 Day";"Char-Broil";"CHAR-109-004";"0.00";"0.00";"20";"0.0000";
"5709193090083";"https://www.keengardener.co.uk/dancook-1300-charcoal-kettle-barbecue.html?utm_source=Char+Broil+Connector";"CHAR-109-008";"108.32500000000001";"129.99";"20";"1 Day";"Char-Broil";"CHAR-109-008";"0.00";"0.00";"20";"0.0000";
"5709193100003";"https://www.keengardener.co.uk/dancook-9000-fireplace.html?utm_source=Char+Broil+Connector";"CHAR-110-000";"141.65833333333336";"169.99";"20";"1 Day";"Char-Broil";"CHAR-110-000";"0.00";"0.00";"20";"0.0000";
"5709193402008";"https://www.keengardener.co.uk/char-broil-x200-grill2go-portable-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-691";"134.99166666666667";"161.99";"20";"1 Day";"Char-Broil";"CHAR-140-691";"0.00";"0.00";"20";"0.0000";
"5709193848042";"https://www.keengardener.co.uk/char-broil-smoker-box.html?utm_source=Char+Broil+Connector";"CHAR-140-551";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-140-551";"3.49";"2.91";"20";"0.0000";
"473628476140";"https://www.keengardener.co.uk/char-broil-smoking-chips-hickory.html?utm_source=Char+Broil+Connector";"CHAR-140-553";"5.825";"6.99";"20";"1 Day";"Char-Broil";"CHAR-140-553";"3.49";"2.91";"20";"6.0000";
"473628476210";"https://www.keengardener.co.uk/char-broil-smoking-chips-mesquite.html?utm_source=Char+Broil+Connector";"CHAR-140-554";"5.825";"6.99";"20";"1 Day";"Char-Broil";"CHAR-140-554";"3.49";"2.91";"20";"0.0000";
"473622827810";"https://www.keengardener.co.uk/char-broil-smoking-chips-apple.html?utm_source=Char+Broil+Connector";"CHAR-140-555";"5.825";"6.99";"20";"1 Day";"Char-Broil";"CHAR-140-555";"3.49";"2.91";"20";"2.0000";
"5709193367215";"https://www.keengardener.co.uk/char-broil-drip-pans-small.html?utm_source=Char+Broil+Connector";"CHAR-140-556";"8.325000000000001";"9.99";"20";"1 Day";"Char-Broil";"CHAR-140-556";"3.49";"2.91";"20";"7.0000";
"5709193405610";"https://www.keengardener.co.uk/char-broil-double-prong-skewers.html?utm_source=Char+Broil+Connector";"CHAR-140-561";"7.491666666666667";"8.99";"20";"1 Day";"Char-Broil";"CHAR-140-561";"3.49";"2.91";"20";"0.0000";
"5709193388555";"https://www.keengardener.co.uk/char-broil-performance-t-22g-cover.html?utm_source=Char+Broil+Connector";"CHAR-140-564";"41.65833333333334";"49.99";"20";"1 Day";"Char-Broil";"CHAR-140-564";"3.49";"2.91";"20";"0.0000";
"5709193491972";"https://www.keengardener.co.uk/char-broil-performance-t-36g-36g5-47g-cover.html?utm_source=Char+Broil+Connector";"CHAR-140-565";"44.99166666666667";"53.99";"20";"1 Day";"Char-Broil";"CHAR-140-565";"3.49";"2.91";"20";"0.0000";
"5709193301127";"https://www.keengardener.co.uk/char-broil-3-piece-barbecue-set.html?utm_source=Char+Broil+Connector";"CHAR-140-571";"26.241666666666667";"31.49";"20";"1 Day";"Char-Broil";"CHAR-140-571";"3.49";"2.91";"20";"0.0000";
"5709193405733";"https://www.keengardener.co.uk/char-broil-cast-iron-plate.html?utm_source=Char+Broil+Connector";"CHAR-140-573";"41.65833333333334";"49.99";"20";"1 Day";"Char-Broil";"CHAR-140-573";"3.49";"2.91";"20";"0.0000";
"5709193364351";"https://www.keengardener.co.uk/char-broil-pizza-stone.html?utm_source=Char+Broil+Connector";"CHAR-140-574";"20.825";"24.99";"20";"1 Day";"Char-Broil";"CHAR-140-574";"3.49";"2.91";"20";"0.0000";
"5709193095026";"https://www.keengardener.co.uk/dancook-1800-charcoal-kettle-bbq.html?utm_source=Char+Broil+Connector";"CHAR-109-502";"233.32500000000002";"279.99";"20";"1 Day";"Char-Broil";"CHAR-109-502";"0.00";"0.00";"20";"0.0000";
"5709193096016";"https://www.keengardener.co.uk/dancook-1501-charcoal-kettle-bbq.html?utm_source=Char+Broil+Connector";"CHAR-109-601";"416.65833333333336";"499.99";"20";"1 Day";"Char-Broil";"CHAR-109-601";"0.00";"0.00";"20";"0.0000";
"5709193101024";"https://www.keengardener.co.uk/dancook-lid-stainless-steel.html?utm_source=Char+Broil+Connector";"CHAR-110-102";"40";"48";"20";"1 Day";"Char-Broil";"CHAR-110-102";"3.49";"2.91";"20";"4.0000";
"5709193101031";"https://www.keengardener.co.uk/dancook-cover-fireplace-9000.html?utm_source=Char+Broil+Connector";"CHAR-110-103";"20.825";"24.99";"20";"1 Day";"Char-Broil";"CHAR-110-103";"3.49";"2.91";"20";"0.0000";
"5709193104001";"https://www.keengardener.co.uk/dancook-9400.html?utm_source=Char+Broil+Connector";"CHAR-110-400";"83.325";"99.99";"20";"1 Day";"Char-Broil";"CHAR-110-400";"0.00";"0.00";"20";"0.0000";
"5709193105008";"https://www.keengardener.co.uk/dancook-9500.html?utm_source=Char+Broil+Connector";"CHAR-110-500";"83.325";"99.99";"20";"1 Day";"Char-Broil";"CHAR-110-500";"0.00";"0.00";"20";"0.0000";
"5709193200000";"https://www.keengardener.co.uk/dancook-bbq-starter.html?utm_source=Char+Broil+Connector";"CHAR-120-000";"10.825000000000001";"12.99";"20";"1 Day";"Char-Broil";"CHAR-120-000";"3.49";"2.91";"20";"0.0000";
"does not apply";"https://www.keengardener.co.uk/dancook-cooking-grid-40-x-60cm.html?utm_source=Char+Broil+Connector";"CHAR-120-004";"14.991666666666665";"17.99";"20";"1 Day";"Char-Broil";"CHAR-120-004";"3.49";"2.91";"20";"0.0000";
"5709193200109";"https://www.keengardener.co.uk/dancook-cooking-grid-42cm.html?utm_source=Char+Broil+Connector";"CHAR-120-010";"9.158333333333333";"10.99";"20";"1 Day";"Char-Broil";"CHAR-120-010";"3.49";"2.91";"20";"0.0000";
"5709193200116";"https://www.keengardener.co.uk/dancook-cooking-grid-50cm.html?utm_source=Char+Broil+Connector";"CHAR-120-011";"9.741666666666667";"11.69";"20";"1 Day";"Char-Broil";"CHAR-120-011";"3.49";"2.91";"20";"0.0000";
"5709193200185";"https://www.keengardener.co.uk/dancook-spit-stainless-steel.html?utm_source=Char+Broil+Connector";"CHAR-120-018";"6";"7.2";"20";"1 Day";"Char-Broil";"CHAR-120-018";"3.49";"2.91";"20";"10.0000";
"5709193201229";"https://www.keengardener.co.uk/dancook-cooking-grid-45cm.html?utm_source=Char+Broil+Connector";"CHAR-120-122";"9.991666666666667";"11.99";"20";"1 Day";"Char-Broil";"CHAR-120-122";"3.49";"2.91";"20";"0.0000";
"5709193201267";"https://www.keengardener.co.uk/dancook-carving-board.html?utm_source=Char+Broil+Connector";"CHAR-120-126";"6.25";"7.5";"20";"1 Day";"Char-Broil";"CHAR-120-126";"3.49";"2.91";"20";"0.0000";
"5709193201465";"https://www.keengardener.co.uk/dancook-drip-pans-10-23-x-33cm.html?utm_source=Char+Broil+Connector";"CHAR-120-146";"8.325000000000001";"9.99";"20";"1 Day";"Char-Broil";"CHAR-120-146";"3.49";"2.91";"20";"0.0000";
"5709193201472";"https://www.keengardener.co.uk/dancook-digital-thermometer.html?utm_source=Char+Broil+Connector";"CHAR-120-147";"30";"36";"20";"1 Day";"Char-Broil";"CHAR-120-147";"3.49";"2.91";"20";"5.0000";
"5709193201519";"https://www.keengardener.co.uk/dancook-3-sided-grill-brush-30cm.html?utm_source=Char+Broil+Connector";"CHAR-120-151";"6";"7.2";"20";"1 Day";"Char-Broil";"CHAR-120-151";"3.49";"2.91";"20";"4.0000";
"5709193301066";"https://www.keengardener.co.uk/dancook-barbecue-spit-62cm.html?utm_source=Char+Broil+Connector";"CHAR-130-106";"8.325000000000001";"9.99";"20";"1 Day";"Char-Broil";"CHAR-130-106";"3.49";"2.91";"20";"0.0000";
"5709193301073";"https://www.keengardener.co.uk/dancook-meat-forks.html?utm_source=Char+Broil+Connector";"CHAR-130-107";"5.241666666666667";"6.29";"20";"1 Day";"Char-Broil";"CHAR-130-107";"3.49";"2.91";"20";"0.0000";
"5709193301103";"https://www.keengardener.co.uk/dancook-bbq-motor-1-5v.html?utm_source=Char+Broil+Connector";"CHAR-130-110";"4";"4.8";"20";"1 Day";"Char-Broil";"CHAR-130-110";"3.49";"2.91";"20";"14.0000";
"5709193301202";"https://www.keengardener.co.uk/dancook-universal-shelf.html?utm_source=Char+Broil+Connector";"CHAR-130-120";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-130-120";"3.49";"2.91";"20";"0.0000";
"5709193301240";"https://www.keengardener.co.uk/dancook-bbq-cover-5100-7000-7100-7200.html?utm_source=Char+Broil+Connector";"CHAR-130-124";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-130-124";"3.49";"2.91";"20";"0.0000";
"5709193301257";"https://www.keengardener.co.uk/dancook-bbq-cover-5200-5300-5400-5600-7300-7400-7500.html?utm_source=Char+Broil+Connector";"CHAR-130-125";"17";"20.4";"20";"1 Day";"Char-Broil";"CHAR-130-125";"3.49";"2.91";"20";"0.0000";
"5709193301318";"https://www.keengardener.co.uk/dancook-charcoal-2-5kg.html?utm_source=Char+Broil+Connector";"CHAR-130-131";"2.6166666666666667";"3.14";"20";"1 Day";"Char-Broil";"CHAR-130-131";"3.49";"2.91";"20";"0.0000";
"5709193301394";"https://www.keengardener.co.uk/dancook-bbq-cover-1000-1600.html?utm_source=Char+Broil+Connector";"CHAR-130-139";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-130-139";"3.49";"2.91";"20";"0.0000";
"5709193301431";"https://www.keengardener.co.uk/dancook-bbq-cover-1400.html?utm_source=Char+Broil+Connector";"CHAR-130-143";"16";"19.2";"20";"1 Day";"Char-Broil";"CHAR-130-143";"3.49";"2.91";"20";"0.0000";
"5709193301448";"https://www.keengardener.co.uk/dancook-bbq-cover-1800.html?utm_source=Char+Broil+Connector";"CHAR-130-144";"20";"24";"20";"1 Day";"Char-Broil";"CHAR-130-144";"3.49";"2.91";"20";"0.0000";
"5709193301547";"https://www.keengardener.co.uk/dancook-3-piece-stainless-steel-barbecueset.html?utm_source=Char+Broil+Connector";"CHAR-130-154";"18.741666666666667";"22.49";"20";"1 Day";"Char-Broil";"CHAR-130-154";"3.49";"2.91";"20";"0.0000";
"5709193700036";"https://www.keengardener.co.uk/dancook-saligna-wood-fsc-table.html?utm_source=Char+Broil+Connector";"CHAR-170-003";"50";"60";"20";"1 Day";"Char-Broil";"CHAR-170-003";"3.49";"2.91";"20";"2.0000";
"5709193700067";"https://www.keengardener.co.uk/dancook-stainless-steel-grid.html?utm_source=Char+Broil+Connector";"CHAR-170-006";"66.65833333333333";"79.99";"20";"1 Day";"Char-Broil";"CHAR-170-006";"0.00";"0.00";"20";"0.0000";
"5709193020400";"https://www.keengardener.co.uk/char-broil-the-big-easy-srg.html?utm_source=Char+Broil+Connector";"CHAR-140-678";"224.97500000000002";"269.97";"20";"1 Day";"Char-Broil";"CHAR-140-678";"0.00";"0.00";"20";"1.0000";
"5709193020455";"https://www.keengardener.co.uk/char-broil-oklahoma-joe-smoker.html?utm_source=Char+Broil+Connector";"CHAR-140-755";"416.65833333333336";"499.99";"20";"1 Day";"Char-Broil";"CHAR-140-755";"0.00";"0.00";"20";"0.0000";
"5709193090199";"https://www.keengardener.co.uk/char-broil-kettleman.html?utm_source=Char+Broil+Connector";"CHAR-140-756";"149.99166666666667";"179.99";"20";"1 Day";"Char-Broil";"CHAR-140-756";"0.00";"0.00";"20";"6.0000";
"5709193351948";"https://www.keengardener.co.uk/char-broil-the-big-easy-cover.html?utm_source=Char+Broil+Connector";"CHAR-140-506";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-506";"3.49";"2.91";"20";"0.0000";
"5709193372332";"https://www.keengardener.co.uk/char-broil-kettleman-cover.html?utm_source=Char+Broil+Connector";"CHAR-140-759";"20.825";"24.99";"20";"1 Day";"Char-Broil";"CHAR-140-759";"3.49";"2.91";"20";"12.0000";
"5709193399698";"https://www.keengardener.co.uk/char-broil-oklahma-joe-smoker-cover.html?utm_source=Char+Broil+Connector";"CHAR-140-505";"33.325";"39.99";"20";"1 Day";"Char-Broil";"CHAR-140-505";"3.49";"2.91";"20";"0.0000";
"5709193335979";"https://www.keengardener.co.uk/plancha-large-33x-46cm.html?utm_source=Char+Broil+Connector";"CHAR-140-521";"44.99166666666667";"53.99";"20";"1 Day";"Char-Broil";"CHAR-140-521";"3.49";"2.91";"20";"0.0000";
"5709193375685";"https://www.keengardener.co.uk/char-broil-adaptor-hose-pb-180-x200.html?utm_source=Char+Broil+Connector";"CHAR-140-532";"20.825";"24.99";"20";"1 Day";"Char-Broil";"CHAR-140-532";"3.49";"2.91";"20";"0.0000";
"5709193368946";"https://www.keengardener.co.uk/char-broil-cleaning-brush-nylon.html?utm_source=Char+Broil+Connector";"CHAR-140-533";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-140-533";"3.49";"2.91";"20";"0.0000";
"5709193368953";"https://www.keengardener.co.uk/char-broil-bursh-nylon-replacment.html?utm_source=Char+Broil+Connector";"CHAR-140-534";"4.991666666666667";"5.99";"20";"1 Day";"Char-Broil";"CHAR-140-534";"3.49";"2.91";"20";"5.0000";
"5709193397595";"https://www.keengardener.co.uk/char-broil-digital-thermometer-9451.html?utm_source=Char+Broil+Connector";"CHAR-140-537";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-537";"3.49";"2.91";"20";"7.0000";
"5709193377085";"https://www.keengardener.co.uk/char-broil-set-2-piece.html?utm_source=Char+Broil+Connector";"CHAR-140-543";"24.991666666666667";"29.99";"20";"1 Day";"Char-Broil";"CHAR-140-543";"3.49";"2.91";"20";"0.0000";
"5709193370710";"https://www.keengardener.co.uk/char-broil-tool-set-3-piece.html?utm_source=Char+Broil+Connector";"CHAR-140-545";"24.991666666666667";"29.99";"20";"1 Day";"Char-Broil";"CHAR-140-545";"3.49";"2.91";"20";"0.0000";
"5709193395171";"https://www.keengardener.co.uk/char-broil-suspension-hooks.html?utm_source=Char+Broil+Connector";"CHAR-140-547";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-547";"3.49";"2.91";"20";"0.0000";
"5709193384861";"https://www.keengardener.co.uk/char-broil-storage-hooks.html?utm_source=Char+Broil+Connector";"CHAR-140-548";"22.491666666666667";"26.99";"20";"1 Day";"Char-Broil";"CHAR-140-548";"3.49";"2.91";"20";"0.0000";
"5709193359401";"https://www.keengardener.co.uk/char-broil-smoker-box-s-s.html?utm_source=Char+Broil+Connector";"CHAR-140-552";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-552";"3.49";"2.91";"20";"0.0000";
"5709193405771";"https://www.keengardener.co.uk/char-broil-roast-holder-small.html?utm_source=Char+Broil+Connector";"CHAR-140-577";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-577";"3.49";"2.91";"20";"2.0000";
"5709193405818";"https://www.keengardener.co.uk/char-broil-grill-brush-long-steel-53cm.html?utm_source=Char+Broil+Connector";"CHAR-140-581";"8.991666666666667";"10.79";"20";"1 Day";"Char-Broil";"CHAR-140-581";"3.49";"2.91";"20";"0.0000";
"5709193377023";"https://www.keengardener.co.uk/char-broil-grill-tongs-premium.html?utm_source=Char+Broil+Connector";"CHAR-140-584";"13.325000000000001";"15.99";"20";"1 Day";"Char-Broil";"CHAR-140-584";"3.49";"2.91";"20";"6.0000";
"5709193345749";"https://www.keengardener.co.uk/char-broil-soft-grip-tongs.html?utm_source=Char+Broil+Connector";"CHAR-140-586";"8.325000000000001";"9.99";"20";"1 Day";"Char-Broil";"CHAR-140-586";"3.49";"2.91";"20";"5.0000";
"5709193377146";"https://www.keengardener.co.uk/char-broil-kebab-set.html?utm_source=Char+Broil+Connector";"CHAR-140-587";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-587";"3.49";"2.91";"20";"0.0000";
"5709193398509";"https://www.keengardener.co.uk/char-broil-infusion-flavour-cooker-chamber.html?utm_source=Char+Broil+Connector";"CHAR-140-589";"31.25";"37.5";"20";"1 Day";"Char-Broil";"CHAR-140-589";"3.49";"2.91";"20";"0.0000";
"5709193377016";"https://www.keengardener.co.uk/char-broil-spatular-premium.html?utm_source=Char+Broil+Connector";"CHAR-140-597";"13.325000000000001";"15.99";"20";"1 Day";"Char-Broil";"CHAR-140-597";"3.49";"2.91";"20";"5.0000";
"5709193317357";"https://www.keengardener.co.uk/char-broil-x200-grill2go-bag.html?utm_source=Char+Broil+Connector";"CHAR-140-692";"49.99166666666667";"59.99";"20";"1 Day";"Char-Broil";"CHAR-140-692";"3.49";"2.91";"20";"0.0000";
"5709193335986";"https://www.keengardener.co.uk/char-broil-plancha-small-22-x-46cm.html?utm_source=Char+Broil+Connector";"CHAR-140-591";"37.49166666666667";"44.99";"20";"1 Day";"Char-Broil";"CHAR-140-591";"3.49";"2.91";"20";"0.0000";
"5709193405788";"https://www.keengardener.co.uk/char-broil-ir-cleaning-brush.html?utm_source=Char+Broil+Connector";"CHAR-140-563";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-563";"3.49";"2.91";"20";"0.0000";
"5709193830061";"https://www.keengardener.co.uk/char-broil-gas2coal-hybrid-bbq-grill.html?utm_source=Char+Broil+Connector";"CHAR-140-723";"366.65833333333336";"439.99";"20";"1 Day";"Char-Broil";"CHAR-140-723";"0.00";"0.00";"20";"0.0000";
"5709193864004";"https://www.keengardener.co.uk/char-broil-professional-2200b-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-731";"333.32500000000004";"399.99";"20";"1 Day";"Char-Broil";"CHAR-140-731";"0.00";"0.00";"20";"17.0000";
"5709193880004";"https://www.keengardener.co.uk/char-broil-professional-2200s-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-733";"333.32500000000004";"399.99";"20";"1 Day";"Char-Broil";"CHAR-140-733";"0.00";"0.00";"20";"0.0000";
"5709193864103";"https://www.keengardener.co.uk/char-broil-professional-3400b-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-734";"466.65833333333336";"559.99";"20";"1 Day";"Char-Broil";"CHAR-140-734";"0.00";"0.00";"20";"0.0000";
"5709193881001";"https://www.keengardener.co.uk/char-broil-professional-3400s-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-736";"466.65833333333336";"559.99";"20";"1 Day";"Char-Broil";"CHAR-140-736";"0.00";"0.00";"20";"0.0000";
